База данных;совокупность данных, хранимых в соответствии со схемой данных, манипулирование которыми выполняют в соответствии с правилами средств моделирования данных.
Библиотека;набор классов и методов для решения определенных задач.
Приложение;прикладная компьютерная программа.
Сервер;приложение, обрабатывающее запросы клиента (в данной работе, в роли клиента выступает софтфон).
Система управления версиями;программное обеспечение для облегчения работы с изменяющейся информацией. Система управления версиями позволяет хранить несколько версий одного и того же документа, при необходимости возвращаться к более ранним версиям, определять, кто и когда сделал то или иное изменение, и многое другое.
Софтфон;приложение для персонального компьютера, позволяющее осуществлять голосовые или видеозвонки через Интернет.
СУБД;система управления базами данных - совокупность программных и лингвистических средств общего или специального назначения, обеспечивающих управление созданием и использованием баз данных.
Фреймворк;программное обеспечение, облегчающее разработку и объединение разных компонентов большого программного проекта.
DOS;хакерская атака на вычислительную систему с целью довести её до отказа, то есть создание таких условий, при которых добросовестные пользователи системы не смогут получить доступ к предоставляемым системным ресурсам (серверам), либо этот доступ будет затруднён.
DDOS;DOS-атака, производимая с двух и более хостов.
Electron;фреймворк, разработанный GitHub. Позволяет разрабатывать нативные графические приложения для операционных систем с помощью веб-технологий, комбинируя возможности Node.js для работы с back-end и библиотеки веб-рендеринга Chromium.
Express;фреймворк web-приложений для Node.js, реализованный как свободное и открытое программное обеспечение под лицензией MIT. Он спроектирован для создания веб-приложений и API. Де-факто является стандартным каркасом для Node.js.
Git;распределённая система управления версиями.
Github;крупнейший веб-сервис для хостинга IT-проектов и их совместной разработки.
IP-телефония;телефонная связь по протоколу IP. Под IP-телефонией подразумевается набор коммуникационных протоколов, технологий и методов, обеспечивающих традиционные для телефонии набор номера, дозвон и двустороннее голосовое общение, а также видеообщение по сети Интернет или любым другим IP-сетям.
JavaScript;мультипарадигменный язык программирования. Поддерживает объектно-ориентированный, императивный и функциональный стили. Является реализацией спецификации ECMAScript. JavaScript обычно используется как встраиваемый язык для программного доступа к объектам приложений.
JSON (JavaScript Object Notation);формат обмена данными, основанный на JavaScript, удобный для написания и чтения человеком.
JsSIP;это библиотека для языка программирования JavaScript, которая позволяет использовать технологию WebRTC в виде оконечного программного SIP-телефона на любом веб-сайте.
MongoDB;документоориентированная система управления базами данных, не требующая описания схемы таблиц. Считается одним из классических примеров NoSQL-систем, использует JSON-подобные документы и схему базы данных.
Node.js;программная платформа, основанная на движке V8 (транслирующем JavaScript в машинный код), превращающая JavaScript из узкоспециализированного языка в язык общего назначения. Node.js добавляет возможность JavaScript взаимодействовать с устройствами ввода-вывода через свой API, написанный на C++, подключать другие внешние библиотеки, написанные на разных языках, обеспечивая вызовы к ним из JavaScript-кода. Node.js применяется преимущественно на сервере, выполняя роль веб-сервера, но есть возможность разрабатывать на Node.js и десктопные оконные приложения.
RFC;Request for Comments - документ из серии пронумерованных информационных документов Интернета, содержащих технические спецификации и стандарты, широко применяемые во всемирной сети.
SIMPLE;Session Initiation Protocol for Instant Messaging and Presence Leveraging Extensions - набор профилей и расширений стандарта SIP, предназначенных для систем мгновенной передачи сообщений (IM) и уведомления о присутствии (Presence).
SIP;Session Initiation Protocol - протокол передачи данных, описывающий способ установления и завершения пользовательского сеанса связи, включающего обмен мультимедийным содержимым.
SIPp;инструмент моделирования и тестирования трафика SIP с открытым исходным кодом.
TLS;предшественник SSL (англ. secure sockets layer — слой защищённых сокетов), — криптографический протокол, обеспечивающий защищённую передачу данных между узлами в сети Интернет. TLS и SSL используют асимметричное шифрование для аутентификации, симметричное шифрование для конфиденциальности и коды аутентичности сообщений для сохранения целостности сообщений.
TypeScript;язык программирования, представленный Microsoft в 2012 году и позиционируемый как средство разработки веб-приложений, расширяющее возможности JavaScript.
WebRTC;проект с открытым исходным кодом, предназначенный для организации передачи потоковых данных между браузерами или другими поддерживающими его приложениями по технологии точка-точка.
